,Disease,Cure name
1038,Pasteurella multocida,"Penicillin, Amoxicillin, Doxycycline"
1039,Hepatitis B virus genotype A1 subtype adw2,"Tenofovir, Entecavir, Lamivudine, Adefovir"
1040,Hepatitis B virus genotype C subtype adr,"Tenofovir, Entecavir, Lamivudine, Adefovir"
1041,Clostridium sardiniense,"Metronidazole, Vancomycin, Clindamycin"
1042,Paraclostridium sordellii,"Metronidazole, Vancomycin"
1043,Clostridium aminobutyricum,"Metronidazole, Vancomycin"
1044,Berne virus,No cure
1045,Breda virus 1,No cure
1046,Breda virus 2,No cure
1047,Canine distemper virus,No cure
1048,Bovine coronavirus,"Lopinavir/Ritonavir, Remdesivir"
1049,Human coronavirus HKU1,"Lopinavir/Ritonavir, Remdesivir"
1050,Murine coronavirus,No cure
1051,Porcine hemagglutinating encephalomyelitis virus,No cure
1052,Puffinosis coronavirus,No cure
1053,Rat coronavirus,No cure
1054,Human torovirus,No cure
1055,Influenza A virus,"Oseltamivir, Zanamivir, Peramivir"
1056,Influenza C virus,"No cure, Ribavirin"
1057,Porcine torovirus,No cure
1058,Vaccinia virus,"Cidofovir, Brincidofovir"
1059,Vibrio vulnificus,"Doxycycline, Ciprofloxacin"
1060,Leptospira borgpetersenii,"Penicillin, Doxycycline"
1061,Vibrio parahaemolyticus,"Doxycycline, Ciprofloxacin"
1062,Helicobacter felis,"Clarithromycin, Amoxicillin"
1063,Giardia intestinalis,"Metronidazole, Albendazole"
1065,Newcastle disease virus,No cure
1066,Human parainfluenza 1 virus,"No cure, Ribavirin"
1067,Human parainfluenza 3 virus,"No cure, Ribavirin"
1068,Human parainfluenza 4a virus,"No cure, Ribavirin"
1069,Parainfluenza virus 5,"No cure, Ribavirin"
1070,Helicobacter acinonychis,"Clarithromycin, Amoxicillin"
1072,Clostridium scatologenes,"Metronidazole, Vancomycin"
1073,Haemophilus influenzae,"Ceftriaxone, Azithromycin"
1074,Anaplasma marginale,"Tetracycline, Doxycycline"
1075,Plasmodium lophurae,"Chloroquine, Artemisinin-based combination therapy"
1076,Saprolegnia parasitica,"No cure, treatment is focused on relieving symptoms"
1077,Plasmodium vivax,"Artemisinin-based combination therapy, Chloroquine"
1078,African swine fever virus,No cure
1079,Cauliflower mosaic virus,"No cure, treatment is focused on controlling the spread of the disease"
1080,Bovine herpesvirus 1,"No cure, treatment is focused on relieving symptoms and controlling the spread of the disease"
1081,Human herpesvirus 1,"Acyclovir, Valacyclovir, Famciclovir"
1082,White spot syndrome virus,"No cure, treatment is focused on controlling the spread of the disease"
1083,Cercopithecine herpesvirus 1,"No cure, treatment is focused on relieving symptoms and controlling the spread of the disease"
1084,Mycoplasma sp.,"Azithromycin, Doxycycline"
1085,Spironucleus vortens,Metronidazole
1086,Mycoplasmopsis fermentans,"Azithromycin, Doxycycline"
1087,Equine herpesvirus 2,"No cure, treatment is focused on relieving symptoms and controlling the spread of the disease"
1089,Fusobacterium nucleatum,"Metronidazole, Clindamycin"
1090,Uromyces appendiculatus,"No cure, treatment is focused on controlling the spread of the disease"
1094,Murine coronavirus,"No cure, treatment is focused on relieving symptoms and controlling the spread of the disease"
1095,Turkey enteric coronavirus,"No cure, treatment is focused on relieving symptoms and controlling the spread of the disease"
1096,Ixodes persulcatus,"Permethrin, Picaridin"
1097,Flavobacterium sp.,"Ciprofloxacin, Gentamicin"
1098,Streptomyces jumonjinensis,No cure exists
1099,Streptomyces microflavus,No cure exists
1100,Pseudomonas amyloderamosa,"Ciprofloxacin, Gentamicin"
1101,Pseudomonas sp.,"Ciprofloxacin, Gentamicin"
1102,Agelenopsis aperta,No cure exists
1103,Rhodococcus sp.,"Vancomycin, Rifampicin"
1104,Mycolicibacterium parafortuitum,"Isoniazid, Rifampicin, Ethambutol"
1105,Encephalitozoon intestinalis,"Albendazole, Fumagillin"
1106,Daboia siamensis,Antivenom
1107,Ixodes pacificus,"Permethrin, Picaridin"
1108,Ixodes sinensis,"Permethrin, Picaridin"
1109,Chironex fleckeri,No specific cure exists
1110,Carybdea rastonii,No specific cure exists
1111,Carybdea alata,No specific cure exists
1112,Avian sarcoma virus,No cure exists
1113,Centruroides noxius,Antivenom
1114,Centruroides bonito,Antivenom
1115,Centruroides tecomanus,Antivenom
1116,Parabuthus villosus,Antivenom
1117,Parabuthus granulatus,Antivenom
1118,Scorpiops pococki,Antivenom
1119,Tityus trivittatus,Antivenom
1120,Tityus pachyurus,Antivenom
1121,Mesobuthus gibbosus,Antivenom
1122,Androctonus amoreuxi,Antivenom
1123,Chaerilus tricostatus,Antivenom
1124,Buthus paris,Antivenom
1125,Tityus metuendus,Antivenom
1126,Vaejovis mexicanus smithi,Antivenom
1127,Scorpiops tibetanus,Antivenom
1128,Scorpiops margerisonae,Antivenom
1129,Scorpiops jendeki,Antivenom
1130,Centruroides margaritatus,Antivenom
1131,Edwardsiella tarda,"Ciprofloxacin, Gentamicin"
1132,Neisseria animalis,"Ciprofloxacin, Gentamicin"
1133,Mycolicibacterium vanbaalenii,"Isoniazid, Rifampicin, Ethambutol"
1134,Centruroides limbatus,Antivenom
1135,Rhopalurus junceus,Antivenom
1136,Centruroides suffusus,Antivenom
1137,Heteroctenus garridoi,Antivenom
1138,Heterometrus spinifer,Antivenom
1139,Anuroctonus phaiodactylus,Antivenom
1140,Heterometrus laoticus,Antivenom
1141,Plasmodium falciparum,"Chloroquine, Artemisinin-based combination therapy"
1142,Liocheles australasiae,Antivenom
1143,Euscorpiops validus,Antivenom
1144,Rathayibacter rathayi,No specific cure exists
1145,Sulfobacillus thermosulfidooxidans,No specific cure exists
1146,Streptomyces kasugaensis,No specific cure exists
1147,Centruroides gracilis,Antivenom
1148,Centruroides sculpturatus,Antivenom
1149,Centruroides exilicauda,Antivenom
1150,Actinomadura kijaniata,No specific cure exists
1154,Tannerella forsythia,"Metronidazole, Amoxicillin"
1155,Urodacus manicatus,Antivenom
1177,Centruroides limbatus,Scorpion antivenom
1178,Rhopalurus junceus,Scorpion antivenom
1179,Centruroides suffusus,Scorpion antivenom
1180,Heterometrus spinifer,Scorpion antivenom
1181,Euscorpiops validus,Scorpion antivenom
1182,Centruroides gracilis,Scorpion antivenom
1183,Centruroides sculpturatus,Scorpion antivenom
1184,Centruroides exilicauda,Scorpion antivenom
1185,Heterometrus laoticus,Scorpion antivenom
1186,Heterometrus petersii,Scorpion antivenom
1187,Plasmodium falciparum,"Chloroquine, Artemisinin, Mefloquine"
1193,Listeria welshimeri,"Ampicillin, Gentamicin"
1194,Amblyomma hebraeum,"Doxycycline, Amoxicillin"
1195,Argas monolakensis,"Doxycycline, Amoxicillin"
1196,Mycobacterium phage Corndog,"Isoniazid, Rifampicin, Ethambutol"
1197,Achromobacter aegrifaciens,"Ciprofloxacin, Gentamicin"
1198,Pandinus cavimanus,Scorpion antivenom
1199,Pseudomonas azotoformans,"Ciprofloxacin, Gentamicin"
1200,Staphylococcus gallinarum,"Methicillin, Vancomycin"
1201,Staphylococcus hominis,"Methicillin, Vancomycin"
1202,Staphylococcus simulans,"Methicillin, Vancomycin"
1203,Streptococcus uberis,"Penicillin, Amoxicillin"
1204,Lumpy skin disease virus,No cure exists
1205,Rhodococcus jostii,"Clarithromycin, Rifampicin"
1206,Latrodectus geometricus,Black widow antivenom
1207,Latrodectus hasselti,Black widow antivenom
1208,Latrodectus hesperus,Black widow antivenom
1209,Latrodectus mactans,Black widow antivenom
1210,Latrodectus pallidus,Black widow antivenom
1211,Latrodectus tredecimguttatus,Black widow antivenom
1212,Steatoda grossa,No cure exists
1213,Neisseria meningitidis serogroup B,"Ciprofloxacin, Rifampicin"
1214,Streptococcus iniae,"Penicillin, Amoxicillin"
1215,Mesomycoplasma hyopneumoniae,"Tetracycline, Erythromycin"
1216,Aphelenchus avenae,No cure exists
1217,Axinella polypoides,No cure exists
1218,Bothrops pauloensis,Bothrops antivenom
1219,Bothrops pirajai,Bothrops antivenom
1220,Crotalus ruber ruber,Crotaline antivenom
1221,Lachesis stenophrys,Lachesis antivenom
1222,Crotalaria juncea,No cure exists
1223,Crotalaria pallida,No cure exists
1224,Galanthus nivalis,No cure exists
1225,Lathyrus sphaericus,No cure exists
1226,Luffa acutangula,No cure exists
1227,Narcissus tazetta,No cure exists
1228,Leptodactylus pentadactylus,No cure exists
1229,Streptococcus gallolyticus,"Penicillin, Amoxicillin"
1230,Buchnera aphidicola,No cure exists
1231,Hepatitis delta virus,"Interferon alfa, Lamivudine"
1232,Salmonella houtenae,"Ciprofloxacin, Amoxicillin"
1233,Gaeumannomyces graminis,No cure exists
1234,Burkholderia plantarii,"Ciprofloxacin, Amoxicillin"
1235,Malassezia furfur,"Ketoconazole, Itraconazole"
1236,Malassezia restricta,"Ketoconazole, Itraconazole"
1237,Moraxella sp.,"Ciprofloxacin, Amoxicillin"
1238,Moesziomyces aphidis,No cure exists
1239,Penicillium cyclopium,No cure exists
1240,Staphylococcus hyicus,"Methicillin, Vancomycin"
1241,Bibersteinia trehalosi,"Ciprofloxacin, Amoxicillin"
1242,Mannheimia glucosida,"Ciprofloxacin, Amoxicillin"
1243,Reovirus type 3,No cure exists
1244,Reovirus type 2,No cure exists
1245,Reovirus type 1,No cure exists
1246,Bacillus cereus,"Ciprofloxacin, Amoxicillin"
1247,Aerococcus viridans,"Ciprofloxacin, Amoxicillin"
1248,Lactobacillus jensenii,No cure exists
1249,Lacticaseibacillus rhamnosus,No cure exists
1250,Lentilactobacillus hilgardii,No cure exists
1251,Mycobacterium indicus pranii,"Isoniazid, Rifampicin, Ethambutol"
1252,Mycobacterium avium subsp. hominissuis,"Isoniazid, Rifampicin, Ethambutol"
1253,Aspergillus tamarii,"Ketoconazole, Itraconazole"
1255,Salmonella typhimurium,"Ciprofloxacin, Amoxicillin"
1256,Mycobacterium paratuberculosis,"Isoniazid, Rifampicin, Ethambutol"
1257,Aeromonas jandaei,"Ciprofloxacin, Amoxicillin"
1258,Rahnella aquatilis,"Ciprofloxacin, Amoxicillin"
1259,Staphylococcus staphylolyticus,"Methicillin, Vancomycin"
1260,Shewanella hanedai,"Ciprofloxacin, Amoxicillin"
1261,Leifsonia aquatica,"Ciprofloxacin, Amoxicillin"
1262,Pochonia chlamydosporia,No cure exists
1263,Zymoseptoria tritici,No cure exists
1264,Borna disease virus 1,No cure exists
1265,Borna disease virus,No cure exists
1266,Bunyavirus La Crosse,No cure exists
1267,Reston ebolavirus,No cure exists
1269,Sudan ebolavirus,No cure exists
1271,Zaire ebolavirus,No cure exists
1273,Mammarenavirus lassaense,Ribavirin
1274,Lake Victoria marburgvirus,No cure exists
1278,Parainfluenza virus 5,No cure exists
1279,Sendai virus,No cure exists
1280,Toscana virus,No cure exists
1281,Vesicular stomatitis New Jersey virus,No cure exists
1282,Influenza A virus,"Oseltamivir, Zanamivir"
1284,Streptococcus pyogenes serotype M5,"Penicillin, Amoxicillin"
1285,Fusobacterium mortiferum,"Metronidazole, Amoxicillin"
1286,Encephalitozoon hellem,"Albendazole, Fumagillin"
1287,Vespa bicolor,Epinephrine
1288,Vespa affinis,Epinephrine
1289,Vespa basalis,Epinephrine
1290,Vespa ducalis,Epinephrine
1291,Vespa velutina flavitarsus,Epinephrine
1292,Polistes rothneyi,Epinephrine
1293,Polistes dominula,Epinephrine
1294,Polistes dorsalis,Epinephrine
1295,Polistes jokahamae,Epinephrine
1296,Allamanda cathartica,Activated charcoal
1297,Apocynum androsaemifolium,Activated charcoal
1298,Aconitum spp.,"Digoxin, Atropine"
1299,Colchicum speciosum,Activated charcoal
1300,Drosophyllum lusitanicum,Activated charcoal
1301,Ephedra sinica,"Ephedrine, pseudoephedrine"
1302,Galanthus elwesii,Activated charcoal
1303,Gaultheria procumbens,Activated charcoal
1304,Gratiola officinalis,Activated charcoal
1305,Hydrangea quercifolia,Activated charcoal
1306,Kalmia buxifolia,Activated charcoal
1307,Kalmia procumbens,Activated charcoal
1308,Mandragora officinarum,Activated charcoal
1309,Mimosa pudica,Activated charcoal
1310,Nepenthes spp.,Activated charcoal
1311,Nicotiana spp.,Nicotine replacement therapy
1312,Paris tetraphylla,Activated charcoal
1313,Pereskia aculeata,Activated charcoal
1314,Phalaenopsis japonica,None
1315,Phaulothamnus spinescens,Activated charcoal
1316,Phaius tancarvilleae,Activated charcoal
1317,Prunus laurocerasus,Activated charcoal
1318,Rhamnus cathartica,Activated charcoal
1319,Rhododendron ferrugineum,Activated charcoal
1320,Rhododendron hippophaeoides,Activated charcoal
1321,Rhododendron tomentosum,Activated charcoal
1322,Rhododendron tsusiophyllum,Activated charcoal
1323,Rosa spp.,None
1324,Ruscus aculeatus,Activated charcoal
1325,Saxifraga spp.,Activated charcoal
1326,Schlumbergera truncata,Activated charcoal
1327,Sisymbrium irio,Activated charcoal
1328,Spartium junceum,Activated charcoal
1329,Syzygium spp.,Activated charcoal
1330,Thuja spp.,Activated charcoal
1331,Thujopsis dolabrata,Activated charcoal
1332,Tigridia pavonia,Activated charcoal
1333,Verbascum thapsus,"Anti-inflammatory compounds like Verbascoside, Harpagoside"
1334,Verbena rigida,"No specific medicine compound, but can cause allergic reactions"
1335,Human respiratory syncytial virus A,"Ribavirin, Palivizumab"
1336,Measles virus,"Vitamin A, Ribavirin"
1337,Human parainfluenza 1 virus,"Ribavirin, Oseltamivir"
1338,Human parainfluenza 4b virus,"Ribavirin, Oseltamivir"
1339,Influenza C virus,"Oseltamivir, Zanamivir"
1340,Lymphocystis disease virus 1,"No specific medicine compound, supportive care only"
1341,Rana tigrina ranavirus,"No specific medicine compound, supportive care only"
1342,Suid herpesvirus 1,"Acyclovir, Valacyclovir"
1343,Yersinia pestis,"Streptomycin, Gentamicin, Ciprofloxacin"
1344,Klebsiella pneumoniae,"Ciprofloxacin, Ceftriaxone, Amikacin"
1345,Klebsiella variicola,"Ciprofloxacin, Ceftriaxone, Amikacin"
1346,Trichophyton tonsurans,"Terbinafine, Itraconazole, Fluconazole"
1347,Erwinia amylovora,"No specific medicine compound, antibiotic treatment not recommended"
1348,Pseudomonas veronii,"Ciprofloxacin, Ceftriaxone, Amikacin"
1349,Shewanella colwelliana,"Ciprofloxacin, Ceftriaxone, Amikacin"
1350,Trichophyton soudanense,"Terbinafine, Itraconazole, Fluconazole"
1351,Trichophyton violaceum,"Terbinafine, Itraconazole, Fluconazole"
1352,Leptospira meyeri,"Penicillin G, Doxycycline, Ciprofloxacin"
1353,Erwinia pyrifoliae,"No specific medicine compound, antibiotic treatment not recommended"
1354,Streptomyces spectabilis,"No specific medicine compound, antibiotic treatment not recommended"
1355,Brevundimonas diminuta,"No specific medicine compound, antibiotic treatment not recommended"
1356,Comamonas testosteroni,"No specific medicine compound, antibiotic treatment not recommended"
1357,Halomonas anticariensis,"No specific medicine compound, antibiotic treatment not recommended"
1358,Trichuris trichiura,"Albendazole, Mebendazole"
1359,Trichinella spiralis,"Albendazole, Mebendazole"
1360,Legionella longbeachae,"Azithromycin, Clarithromycin, Erythromycin"
1361,Aspergillus spp.,"Voriconazole, Itraconazole, Amphotericin B"
1362,Veillonella parvula,"Metronidazole, Clindamycin"
1363,Fusarium oxysporum,"Voriconazole, Itraconazole, Amphotericin B"
1364,Mycobacterium sp.,"Isoniazid, Rifampicin, Ethambutol"
1365,Chlamydia muridarum,"Azithromycin, Doxycycline, Erythromycin"
1366,Moloney murine sarcoma virus,"No specific medicine compound, treatment focused on supportive care"
1367,Tomato bushy stunt virus,"No specific medicine compound, treatment focused on supportive care"
1368,Mycolicibacterium austroafricanum,"Isoniazid, Rifampicin, Ethambutol"
1369,Plasmodium falciparum,"Artemisinin, Chloroquine, Quinine, Mefloquine"
1372,Tomato bushy stunt virus,"No specific medicine compound, supportive care"
1373,Apple stem grooving virus,"No specific medicine compound, supportive care"
1375,Streptomyces coelicolor,"No specific medicine compound, supportive care"
1376,Bacillus sp.,"No specific medicine compound, supportive care"
1378,Cellulomonas flavigena,"No specific medicine compound, supportive care"
1379,Haemophilus parahaemolyticus,"Azithromycin, Ciprofloxacin, Amoxicillin"
1380,Haemophilus aegyptius,"Azithromycin, Ciprofloxacin, Amoxicillin"
1381,Cronobacter sakazakii,"Gentamicin, Ciprofloxacin, Ampicillin"
1382,Salmonella infantis,"Ciprofloxacin, Azithromycin, Ampicillin"
1383,Streptococcus cristatus,"Penicillin, Amoxicillin, Clindamycin"
1384,Spiroplasma monobiae,"No specific medicine compound, supportive care"
1385,Vibrio sp.,"Doxycycline, Ciprofloxacin, Azithromycin"
1386,Xanthomonas campestris pv. cyanopsidis,"Copper-based fungicides, Streptomycin"
1387,Xanthomonas campestris pv. amaranthicola,"Copper-based fungicides, Streptomycin"
1388,Xanthomonas vasicola,"Copper-based fungicides, Streptomycin"
1389,Enterococcus mundtii,"Vancomycin, Linezolid, Daptomycin"
1390,Microcystis viridis,"No specific medicine compound, supportive care"
1391,Bean common mosaic necrosis virus,"No specific medicine compound, supportive care"
1392,Beet mosaic virus,"No specific medicine compound, supportive care"
1393,Citrus leprosis virus C,"No specific medicine compound, supportive care"
1394,Groundnut rosette virus,"No specific medicine compound, supportive care"
1395,Lettuce mosaic virus,"No specific medicine compound, supportive care"
1396,Plum pox potyvirus,"No specific medicine compound, supportive care"
1397,Papaya ringspot virus,"No specific medicine compound, supportive care"
1398,Pea seed-borne mosaic virus,"No specific medicine compound, supportive care"
1399,Potato virus A,"No specific medicine compound, supportive care"
1400,Tobacco etch virus,"No specific medicine compound, supportive care"
1402,Tobacco vein mottling virus,"No specific medicine compound, supportive care"
1403,Zucchini yellow mosaic virus,"No specific medicine compound, supportive care"
1404,Avian myeloblastosis virus,"No specific medicine compound, supportive care"
1405,Avian myelocytomatosis virus CMII,"No specific medicine compound, supportive care"
1406,Avian retrovirus MH2E21,"No specific medicine compound, supportive care"
1407,Feline leukemia virus FTT,"No specific medicine compound, supportive care"
1408,Sarcoptes scabiei,"Permethrin, Ivermectin, Lindane"
1409,Taenia saginata,"Niclosamide, Praziquantel, Albendazole"
1410,Crotalus oreganus concolor,Antivenom
1411,Crotalus durissus cumanensis,Antivenom
1412,Crotalus oreganus helleri,Antivenom
1413,Crotalus durissus ruruima,Antivenom
1414,Turkey coronavirus,"No specific medicine compound, supportive care"
1415,Dugbe virus,"Ribavirin, Interferon"
1416,Zaire ebolavirus,"ZMapp, Brincidofovir, Remdesivir"
1417,Sudan ebolavirus,"ZMapp, Brincidofovir, Remdesivir"
1418,Feline coronavirus,"No specific medicine compound, supportive care"
1419,Influenza A virus,"Oseltamivir, Zanamivir, Amantadine, Rimantadine"
1423,Avian infectious bronchitis virus,"No specific medicine compound, supportive care"
1424,Impatiens necrotic spot virus,"No specific medicine compound, supportive care"
1425,Lactate dehydrogenase-elevating virus,"No specific medicine compound, supportive care"
1426,Maguari virus,"No specific medicine compound, supportive care"
1427,Measles virus,"No specific medicine compound, supportive care"
1428,Middle East respiratory syndrome-related coronavirus,"Lopinavir/Ritonavir, Ribavirin, Interferon"
1429,Mumps virus,"No specific medicine compound, supportive care"
1430,Newcastle disease virus,"No specific medicine compound, supportive care"
1431,Porcine epidemic diarrhea virus,"No specific medicine compound, supportive care"
1432,Peste-des-petits-ruminants virus,"No specific medicine compound, supportive care"
1433,Puumala virus,"Ribavirin, Interferon"
1434,Rinderpest virus,"No specific medicine compound, supportive care"
1435,Sandfly fever sicilian virus,"No specific medicine compound, supportive care"
1436,Tomato spotted wilt virus,"No specific medicine compound, supportive care"
1438,Viral hemorrhagic septicemia virus,"No specific medicine compound, supportive care"
1439,White bream virus,"No specific medicine compound, supportive care"
1440,Wheat yellow head virus,"No specific medicine compound, supportive care"
1441,Saccharothrix syringae,"No specific medicine compound, supportive care"
1442,Streptomyces malayensis,"No specific medicine compound, supportive care"
1443,Androctonus mauritanicus,Antivenom
1444,Tityus trinitatis,Antivenom
1445,Androctonus crassicauda,Antivenom
1446,Chaerilus tryznai,Antivenom
1447,Mesomexovis subcristatus,Antivenom
1448,Human immunodeficiency virus type 1 group M subtype B,Antiretroviral therapy
1449,Simian immunodeficiency virus,"No specific medicine compound, supportive care"
1450,Streptomyces cyanogenus,"No specific medicine compound, supportive care"
1452,Influenza C virus,"No specific medicine compound, supportive care"
1453,Streptomyces actuosus,"No specific medicine compound, supportive care"
1454,Streptomyces rubradiris,"No specific medicine compound, supportive care"
1455,Cryptococcus neoformans,"Amphotericin B, Fluconazole, Voriconazole"
1457,Bordetella pertussis,"Erythromycin, Clarithromycin, Azithromycin"
1458,Legionella pneumophila,"Macrolides , Fluoroquinolones"
1460,Influenza B virus,"Oseltamivir, Zanamivir, Amantadine, Rimantadine"
1462,Bluetongue virus,"No specific medicine compound, supportive care"
1463,Feline enteric coronavirus,"No specific medicine compound, supportive care"
1464,"Rotavirus A, B, C","No specific medicine compound, supportive care"
1465,Rotavirus A,Rotavirus vaccine
1466,Rotavirus A,"Rotavirus vaccine, Immunoglobulin"
1469,Rotavirus A,No human treatment available
1472,Rotavirus C,No human treatment available
1487,Aspergillus novofumigatus,"Voriconazole, Itraconazole, Amphotericin B"
1488,Varanus sp.,No specific compound
1489,Suncus etruscus,No specific compound
1490,Anopheles arabiensis,"Chloroquine, Artemisinin-based combination therapies"
1491,Atropoides nummifer,Antivenom
1492,Bothrops asper,Antivenom
1493,Bothriechis lateralis,Antivenom
1494,Calloselasma rhodostoma,Antivenom
1495,Gloydius intermedius,Antivenom
1496,Hypnale hypnale,Antivenom
1497,Porthidium ophryomegas,Antivenom
1498,Protobothrops elegans,Antivenom
1499,Sistrurus miliarius,Antivenom
1500,Trimeresurus albolabris,Antivenom
1501,Trimeresurus cantori,Antivenom
1502,Tropidolaemus wagleri,Antivenom
1503,Anopheles quadriannulatus,"Chloroquine, Artemisinin-based combination therapies"
1504,Helicobacter pylori,"Clarithromycin, Amoxicillin, Omeprazole"
1505,Liberibacter asiaticus,No specific compound
1506,Pseudomonas sp.,"Ciprofloxacin, Gentamicin, Tobramycin"
1507,Conus kintoki,No specific compound
1508,Conus abbreviatus,No specific compound
1509,Brucella canis,"Doxycycline, Rifampicin"
1510,Brucella neotomae,"Doxycycline, Rifampicin"
1511,Brucella ovis,"Doxycycline, Rifampicin"
1512,Brucella suis,"Doxycycline, Rifampicin"
1513,Actinobacillus equuli,"Penicillin, Gentamicin"
1514,Actinobacillus lignieresii,"Penicillin, Gentamicin"
1515,Neisseria sicca,"Ceftriaxone, Azithromycin"
1516,Rahnella aquatilis,"Ciprofloxacin, Gentamicin"
1517,Avibacterium avium (Avibacterium infection,"Doxycycline, Enrofloxacin"
1518,Avibacterium gallinarum,"Doxycycline, Enrofloxacin"
1519,Amblyomma testudinarium,"Doxycycline, Amoxicillin"
1520,Phoneutria nigriventer,No specific compound
1523,Coxsackievirus B3,No specific compound
1524,Human enterovirus 71,No specific compound
1525,Poliovirus type 1,No specific compound
1526,Porcine reproductive and respiratory syndrome virus,No specific compound
1527,Caprine arthritis encephalitis virus,No specific compound
1528,Borrelia burgdorferi,"Doxycycline, Ceftriaxone"
1529,Mycoplasma capricolum subsp. capripneumoniae,"Tylosin, Tetracycline"
1530,Streptococcus suis,"Penicillin, Ceftriaxone"
1531,Streptococcus ratti,"Penicillin, Ceftriaxone"
1532,Neisseria elongata,"Ceftriaxone, Azithromycin"
1533,Neisseria flava,"Ceftriaxone, Azithromycin"
1534,Neisseria perflava,"Ceftriaxone, Azithromycin"
1535,Vibrio sp.,"Doxycycline, Ciprofloxacin"
1536,Agkistrodon contortrix laticinctus,Antivenom
1537,Bothrops marajoensis,Antivenom
1538,Bothrops matogrossensis,Antivenom
1539,Bothrops pictus,Antivenom
1540,Lachesis muta,Antivenom
1541,Vipera ammodytes,Antivenom
1542,Mesomycoplasma hyorhinis,"Tylosin, Tetracycline"
1543,Listeria grayi,"Ampicillin, Gentamicin"
1544,Mycoplasmoides pneumoniae,"Macrolides , Fluoroquinolones"
1545,Acanthophis sp.,Antivenom
1546,Bothrops brazili,Antivenom
1547,Vipera renardi,Antivenom
1548,Bitis nasicornis,Antivenom
1549,Crotalus horridus,Antivenom
1550,Trimeresurus puniceus,Antivenom
1551,Bothrops ammodytoides,Antivenom
1552,Gloydius ussuriensis,Antivenom
1553,Lachesis acrochorda,Antivenom
1554,Macrovipera lebetina transmediterranea,Antivenom
1555,Trimeresurus borneensis,Antivenom
1556,Trimeresurus gracilis,Antivenom
1557,Agkistrodon conanti,Antivenom
1558,Crotalus basiliscus,Antivenom
1559,Crotalus scutulatus scutulatus,Antivenom
1560,Crotalus vegrandis,Antivenom
1561,Crotalus mitchellii mitchellii,Antivenom
1562,Sistrurus tergeminus,Antivenom
1563,Crotalus lepidus lepidus,Antivenom
1564,Sistrurus miliarius barbouri,Antivenom
1565,Crotalus oreganus lutosus,Antivenom
1566,Crotalus tzabcan,Antivenom
1567,Gloydius saxatilis,Antivenom
1568,Bitis caudalis,Antivenom
1569,Bothriechis nigroviridis,Antivenom
1570,Protobothrops mangshanensis,Antivenom
1571,Protobothrops tokarensis,Antivenom
1572,Sistrurus miliarius streckeri,Antivenom
1573,Vipera ammodytes meridionalis,Antivenom
1574,Vipera aspis aspis,Antivenom
1575,Vipera aspis zinnikeri,Antivenom
1576,Streptococcus criceti,"Penicillin, Ceftriaxone"
1577,Finegoldia magna,"Clindamycin, Vancomycin"
1579,Legionella longbeachae serogroup 1,"Azithromycin, Levofloxacin"
1580,Pasteurella aerogenes,"Penicillin, Ceftriaxone"
1582,Influenza C virus,No specific compound
1583,Legionella bozemanae,"Azithromycin, Levofloxacin"
1584,Plasmodium yoelii,"Chloroquine, Artemisinin-based combination therapies"
1585,Treponema porcinum,"Penicillin, Ceftriaxone"
1586,Clostridium novyi,"Penicillin, Metronidazole"
1587,Streptococcus macedonicus,"Penicillin, Ceftriaxone"
1588,Entamoeba dispar,"Metronidazole, Paromomycin"
1589,Vaccinia virus,No specific compound
1590,Clostridium haemolyticum,"Penicillin, Metronidazole"
1591,Salmonella typhimurium,"Ciprofloxacin, Ceftriaxone"
1592,Mumps virus,No specific compound
1593,Newcastle disease virus,No specific compound
1594,Rabies virus,No specific compound
1595,Pseudomonas aeruginosa,"Ciprofloxacin, Gentamicin"
1596,Corynebacterium pseudotuberculosis,"Dapsone, Rifampicin"
1597,Corynebacterium ulcerans,"Dapsone, Rifampicin"
1598,Moraxella lacunata,"Amoxicillin, Ceftriaxone"
1599,Pseudocercospora fijiensis,"Azoxystrobin, Chlorothalonil"
1600,Pseudomonas amygdali pv. lachrymans,"Ciprofloxacin, Gentamicin"
1601,Xanthomonas campestris pv. malvacearum,"Copper oxychloride, Mancozeb"
1602,Lancefieldella rimae,"Amoxicillin, Ceftriaxone"
1603,Alkhumra hemorrhagic fever virus,"Ribavirin, Interferon alfa"
1604,Aichi virus,"No specific treatment, supportive care"
1605,Banzi virus,"No specific treatment, supportive care"
1606,Coxsackievirus A16,"No specific treatment, supportive care"
1607,Coxsackievirus A21,"No specific treatment, supportive care"
1608,Coxsackievirus A24,"No specific treatment, supportive care"
1609,Coxsackievirus B1,"No specific treatment, supportive care"
1610,Coxsackievirus A9,"No specific treatment, supportive care"
1611,Coxsackievirus B3,"No specific treatment, supportive care"
1612,Coxsackievirus B4,"No specific treatment, supportive care"
1613,Coxsackievirus B5,"No specific treatment, supportive care"
1614,Coxsackievirus B6,"No specific treatment, supportive care"
1615,Dengue virus type 1,"No specific treatment, supportive care"
1616,Dengue virus type 2,"No specific treatment, supportive care"
1617,Dengue virus type 3,"No specific treatment, supportive care"
1618,Dengue virus type 4,"No specific treatment, supportive care"
1619,Echovirus 1,"No specific treatment, supportive care"
1620,Echovirus 5,"No specific treatment, supportive care"
1621,Echovirus 6,"No specific treatment, supportive care"
1622,Echovirus 9,"No specific treatment, supportive care"
1623,Echovirus 11,"No specific treatment, supportive care"
