Disease,Cure name
Simian immunodeficiency virus (SIV) infection,Antiretroviral therapy (ART)
Simian retrovirus (SRV) infection,No specific treatment available
Thogoto virus infection,No specific treatment available
Maedi visna virus infection,No specific treatment available
Woolly monkey sarcoma virus infection,No specific treatment available
Xenotropic MuLV-related virus infection,No specific treatment available
Avian leukosis,No specific treatment available
Avian erythroblastosis,No specific treatment available
Bacterial leaf spot of sesame (caused by Ralstonia solanacearum),"Copper-based bactericides, Streptomycin"
Fungal infections (caused by Fusarium spp.),"Antifungal medications, such as Amphotericin B"
Diphtheria (caused by Corynebacterium diphtheriae),"Diphtheria antitoxin, Penicillin"
Pneumocystis pneumonia (caused by Pneumocystis carinii),Trimethoprim-Sulfamethoxazole
Scab (caused by Streptomyces scabiei),"Copper-based fungicides, Chlorothalonil"
Bacterial leaf spot of gladiolus (caused by Burkholderia gladioli),"Copper-based bactericides, Streptomycin"
Green peach aphid infestation (caused by Myzus persicae),"Insecticides, such as Pyrethrin or Neonicotinoids"
Cryptococcosis (caused by Cryptococcus neoformans),"Amphotericin B, Fluconazole"
Chlamydophila psittaci infection,"Azithromycin, Doxycycline"
Equine herpesvirus 1 infection,"Antiviral medications, such as Acyclovir or Valacyclovir"
Gallid herpesvirus 2 infection,"Antiviral medications, such as Acyclovir or Valacyclovir"
Herpes simplex virus 1 infection (caused by Human herpesvirus 1),
Genital herpes (caused by Human herpesvirus 2),"Antiviral medications, such as Acyclovir or Valacyclovir"
Marek's disease (caused by Meleagrid herpesvirus 1),"Vaccination, Antiviral medications, such as Acyclovir or Valacyclovir"
Equine arteritis (caused by Equine arteritis virus),"Antiviral medications, such as Ribavirin or Interferon"
Porcine reproductive and respiratory syndrome (caused by Porcine reproductive and respiratory syndrome virus),"Vaccination, Antiviral medications, such as Ribavirin or Interferon"
Molluscum contagiosum (caused by Molluscum contagiosum virus),"Topical treatments, such as Salicylic acid or Imiquimod, or Antiviral medications, such as Cidofovir"
Fascioliasis (caused by Fasciola gigantica),"Antiparasitic medications, such as Triclabendazole or Albendazole"
Clonorchiasis (caused by Clonorchis sinensis),"Antiparasitic medications, such as Praziquantel or Albendazole"
Streptococcal infections (caused by Streptococcus parasanguinis),"Antibiotics, such as Penicillin or Amoxicillin"
Loiasis,"Diethylcarbamazine, Ivermectin, Albendazole"
Trypanosomiasis,"Suramin, Pentamidine"
Cryptosporidiosis,Nitazoxanide
Candida infection,"Fluconazole, Caspofungin"
Loiasis,Diethylcarbamazine
Lymphatic filariasis,"Diethylcarbamazine, Albendazole"
Cryptococcosis,"Amphotericin B, Fluconazole"
Phomopsis blight,Chlorothalonil
Trypanosomiasis,"Nifurtimox, Benznidazole"
Shewanella infection,Ciprofloxacin
Fusarium head blight,Triadimefon
Cryptosporidiosis,"Nitazoxanide, Paromomycin"
Cat-scratch disease,"Azithromycin, Clarithromycin, Erythromycin"
Jimsonweed poisoning,Physostigmine
Deadly nightshade poisoning,Physostigmine
Henbane poisoning,Physostigmine
Pokeweed poisoning,No specific treatment available
Pokeweed dermatitis,"Topical corticosteroids, Calamine lotion"
Anthrax,"Ciprofloxacin, Doxycycline"
Brugmansia poisoning,Physostigmine
Datura poisoning,Physostigmine
Scopolamine poisoning,Physostigmine
Black nightshade poisoning,Physostigmine
Aspergillosis,"Voriconazole, Amphotericin B, Itraconazole"
Tuberculosis,"Isoniazid, Rifampicin, Ethambutol, Pyrazinamide"
Leprosy,"Dapsone, Clofazimine, Rifampicin"
Pertussis,"Azithromycin, Clarithromycin, Erythromycin"
Shigellosis,"Ciprofloxacin, Azithromycin, Ceftriaxone"
Erysipelas,"Penicillin, Cephalexin, Erythromycin"
Anthrax,"Ciprofloxacin, Doxycycline"
Helicobacter pylori infection,"Omeprazole, Clarithromycin, Amoxicillin"
Nocardiosis,"Sulfadiazine, Trimethoprim-sulfamethoxazole"
Tetanus,"Tetanus toxin, Metronidazole"
Gas gangrene,"Penicillin, Clindamycin, Metronidazole"
Melioidosis,"Ceftazidime, Meropenem, Imipenem"
Salmonellosis,"Ciprofloxacin, Azithromycin, Ceftriaxone"
Aeromonas infection,"Ciprofloxacin, Gentamicin, Tobramycin"
Tetanus,"Tetanus toxin, Metronidazole"
Actinomycosis,"Penicillin, Doxycycline, Clindamycin"
Moraxella infection,"Ciprofloxacin, Gentamicin, Tobramycin"
Fusariosis,"Voriconazole, Amphotericin B, Itraconazole"
Aggregatibacter aphrophilus infection,"Penicillin, Doxycycline, Clindamycin"
Capnocytophaga infection,"Penicillin, Doxycycline, Clindamycin"
Salmonellosis,"Ciprofloxacin, Azithromycin, Ceftriaxone"
Sphingobium infection,"Ciprofloxacin, Gentamicin, Tobramycin"
Lactococcosis,"Penicillin, Amoxicillin, Clindamycin"
Streptomyces infection,"Itraconazole, Voriconazole, Amphotericin B"
Myrmecia infection,"Metronidazole, Clindamycin, Ciprofloxacin"
Feline leukemia virus,"Zidovudine, Lamivudine, Stavudine"
Avian sarcoma virus,No specific treatment available
Methanobrevibacter infection,"Metronidazole, Clindamycin, Ciprofloxacin"
Serratia infection,"Ciprofloxacin, Gentamicin, Tobramycin"
Vibrio infection,"Doxycycline, Ciprofloxacin, Ceftriaxone"
Leptosphaeria infection,"Itraconazole, Voriconazole, Amphotericin B"
Sordaria infection,"Itraconazole, Voriconazole, Amphotericin B"
Trichoderma infection,"Itraconazole, Voriconazole, Amphotericin B"
Fusariosis,"Voriconazole, Amphotericin B, Itraconazole"
Ralstonia infection,"Ciprofloxacin, Gentamicin, Tobramycin"
Bovine respiratory syncytial virus infection,No specific treatment available
Human metapneumovirus infection,No specific treatment available
Human respiratory syncytial virus infection,"Ribavirin, Palivizumab"
Measles,"Vitamin A, Measles vaccine"
Mumps,No specific treatment available
Newcastle disease,No specific treatment available
Human parainfluenza 2 virus infection,No specific treatment available
Parainfluenza virus 5 infection,No specific treatment available
Rinderpest,No specific treatment available
Simian virus 41 infection,No specific treatment available
Turkey rhinotracheitis virus infection,No specific treatment available
Bovine respiratory syncytial virus infection,No specific treatment available
Human metapneumovirus infection,No specific treatment available
Human respiratory syncytial virus infection,"Ribavirin, Palivizumab"
Measles,"Vitamin A, Measles vaccine"
Mumps,No specific treatment available
Newcastle disease,No specific treatment available
Human parainfluenza 2 virus infection,No specific treatment available
Parainfluenza virus 5 infection,No specific treatment available
Rinderpest,No specific treatment available
Simian virus 41 infection,No specific treatment available
Turkey rhinotracheitis virus infection,No specific treatment available
Hepatitis C,"Sofosbuvir, Ledipasvir, Ribavirin"
Streptomyces infection,"Itraconazole, Voriconazole, Amphotericin B"
Trichoderma infection,"Itraconazole, Voriconazole, Amphotericin B"
Scenedesmus vacuolatus infection,No specific treatment available
Magnolia liliiflora allergy,"Antihistamines, Corticosteroids"
Ranunculus acris poisoning,"Activated charcoal, Supportive care"
Atlantibacter hermannii infection,No specific treatment available
Cutaneotrichosporon curvatum infection,No specific treatment available
Lactarius deterrimus poisoning,"Supportive care, Activated charcoal"
Methanobacterium bryantii infection,No specific treatment available
Methanothermus fervidus infection,No specific treatment available
Panulirus versicolor allergy,"Antihistamines, Corticosteroids"
Pleurotus sajor-caju allergy,"Antihistamines, Corticosteroids"
Serratia odorifera infection,"Ciprofloxacin, Gentamicin, Tobramycin"
Shimwellia blattae infection,"Ciprofloxacin, Gentamicin, Tobramycin"
Fusariosis,"Voriconazole, Amphotericin B, Itraconazole"
Haplochromis nubilus infection,No specific treatment available
Haplochromis xenognathus infection,No specific treatment available
Clarkia arcuata allergy,"Antihistamines, Corticosteroids"
Clarkia concinna allergy,"Antihistamines, Corticosteroids"
Clarkia franciscana allergy,"Antihistamines, Corticosteroids"
Clarkia lewisii allergy,"Antihistamines, Corticosteroids"
Clarkia mildrediae allergy,"Antihistamines, Corticosteroids"
Clarkia rostrata allergy,"Antihistamines, Corticosteroids"
Clarkia williamsonii allergy,"Antihistamines, Corticosteroids"
Clarkia xantiana allergy,"Antihistamines, Corticosteroids"
Arabidopsis halleri subsp. gemmifera allergy,"Antihistamines, Corticosteroids"
Xanthomonas citri infection,Copper-based fungicides
Brevundimonas diminuta infection,"Ciprofloxacin, Gentamicin, Tobramycin"
Pseudomonas sp. infection,"Ciprofloxacin, Gentamicin, Tobramycin"
Vaccinia virus infection,"Cidofovir, Brincidofovir"
Pseudomonas viridiflava infection,"Ciprofloxacin, Gentamicin, Tobramycin"
Shewanella phage 1/4 infection,No specific treatment available
AIDS,"Zidovudine, Lamivudine, Tenofovir"
Leukemia,"Imatinib, Dasatinib, Nilotinib"
Sarcoma,"Doxorubicin, Ifosfamide, Etoposide"
Leishmaniasis,"Amphotericin B, Pentamidine, Paromomycin"
Malaria,"Artemisinin, Chloroquine, Quinine"
Herpes Simplex,"Acyclovir, Valacyclovir, Famciclovir"
Cytomegalovirus,"Ganciclovir, Valganciclovir, Foscarnet"
Herpes Zoster,"Acyclovir, Valacyclovir, Famciclovir"
Infectious Laryngotracheitis,None (vaccine available)
Bovine Herpesvirus,None (vaccine available)
Equine Herpesvirus,None (vaccine available)
Herpes Simplex,"Acyclovir, Valacyclovir, Famciclovir"
Herpes Zoster,"Acyclovir, Valacyclovir, Famciclovir"
Leukemia,"Imatinib, Dasatinib, Nilotinib"
Schistosomiasis,"Praziquantel, Oxamniquine"
Hookworm,"Albendazole, Mebendazole"
Tapeworm,"Praziquantel, Albendazole"
Tetanus,"Tetanus toxoid, Tetanus immunoglobulin"
Botulism,"Botulinum antitoxin, Botulinum toxoid"
Strangles,"Penicillin, Erythromycin"
Tetanus,"Tetanus toxoid, Tetanus immunoglobulin"
Botulism,"Botulinum antitoxin, Botulinum toxoid"
Lyssavirus,"Rabies vaccine, Post-exposure prophylaxis"
Rhabdovirus,"No specific treatment, Supportive care"
Rabies,"Rabies vaccine, Post-exposure prophylaxis"
Viral hemorrhagic septicemia,"No specific treatment, Supportive care"
Respiratory syncytial virus (RSV),"Ribavirin, Palivizumab"
Mammarenavirus,"No specific treatment, Supportive care"
Reptarenavirus,"No specific treatment, Supportive care"
Respiratory Syncytial Virus (RSV),"Ribavirin, Palivizumab"
Mammarenavirus,"No specific treatment, Supportive care"
Lassa Fever,Ribavirin
Lymphocytic Choriomeningitis,"No specific treatment, Supportive care"
Cytomegalovirus,"Ganciclovir, Valganciclovir, Foscarnet"
Chlamydia,"Azithromycin, Doxycycline"
Leishmaniasis,"Amphotericin B, Miltefosine, Pentavalent antimonials"
Sporotrichosis,"Itraconazole, Fluconazole"
Fungal infections,"Amphotericin B, Fluconazole, Itraconazole"
Hantavirus,Ribavirin
Orthohantavirus,Ribavirin
Bunyavirus,"No specific treatment, Supportive care"
Phlebovirus,"No specific treatment, Supportive care"
Rift Valley Fever,"No specific treatment, Supportive care"
Schmallenberg virus,"No specific treatment, Supportive care"
Seoul virus,"No specific treatment, Supportive care"
Dabie bandavirus,"No specific treatment, Supportive care"
SFTS phlebovirus,"No specific treatment, Supportive care"
Sin Nombre orthohantavirus,Ribavirin
Tomato spotted wilt virus,"No specific treatment, Supportive care"
Tula orthohantavirus,Ribavirin
Uukuniemi virus,No specific treatment available
Schistosoma bovis,"Praziquantel, Oxamniquine"
Schistosoma haematobium,"Praziquantel, Metrifonate"
Citrobacter rodentium,"Ciprofloxacin, Azithromycin"
Shigellosis,"Ciprofloxacin, Azithromycin"
Xanthomonas campestris infection,No specific treatment available
Bacillus infection,"Vancomycin, Penicillin"
Clostridium infection,"Metronidazole, Vancomycin"
Pectobacterium atrosepticum infection,No specific treatment available
Acinetobacter infection,"Imipenem, Meropenem, Ciprofloxacin"
Mycobacterium infection,"Isoniazid, Rifampicin, Ethambutol"
Escherichia infection,"Ciprofloxacin, Azithromycin, Amoxicillin"
Leishmaniasis,"Pentavalent antimonials, Liposomal amphotericin B"
Entamoeba infection,"Metronidazole, Paromomycin"
Trichinella pseudospiralis,"Albendazole, Mebendazole"
Pasteurella multocida,"Penicillin, Amoxicillin, Doxycycline"
Hepatitis B virus genotype A1 subtype adw2,"Tenofovir, Entecavir, Lamivudine, Adefovir"
Hepatitis B virus genotype C subtype adr,"Tenofovir, Entecavir, Lamivudine, Adefovir"
Clostridium sardiniense,"Metronidazole, Vancomycin, Clindamycin"
Paraclostridium sordellii,"Metronidazole, Vancomycin"
Clostridium aminobutyricum,"Metronidazole, Vancomycin"
Berne virus,No cure
Breda virus 1,No cure
Breda virus 2,No cure
Canine distemper virus,No cure
Bovine coronavirus,"Lopinavir/Ritonavir, Remdesivir"
Human coronavirus HKU1,"Lopinavir/Ritonavir, Remdesivir"
Murine coronavirus,No cure
Porcine hemagglutinating encephalomyelitis virus,No cure
Puffinosis coronavirus,No cure
Rat coronavirus,No cure
Human torovirus,No cure
Influenza A virus,"Oseltamivir, Zanamivir, Peramivir"
Influenza C virus,"No cure, Ribavirin (in some cases)"
Porcine torovirus,No cure
Vaccinia virus,"Cidofovir, Brincidofovir"
Vibrio vulnificus,"Doxycycline, Ciprofloxacin"
Leptospira borgpetersenii,"Penicillin, Doxycycline"
Vibrio parahaemolyticus,"Doxycycline, Ciprofloxacin"
Helicobacter felis,"Clarithromycin, Amoxicillin"
Giardia intestinalis,"Metronidazole, Albendazole"
Acinetobacter baumannii,"Imipenem, Colistin"
Newcastle disease virus,No cure
Human parainfluenza 1 virus,"No cure, Ribavirin (in some cases)"
Human parainfluenza 3 virus,"No cure, Ribavirin (in some cases)"
Human parainfluenza 4a virus,"No cure, Ribavirin (in some cases)"
Parainfluenza virus 5,"No cure, Ribavirin (in some cases)"
Helicobacter acinonychis,"Clarithromycin, Amoxicillin"
Clostridioides difficile,"Vancomycin, Metronidazole"
Clostridium scatologenes,"Metronidazole, Vancomycin"
Haemophilus influenzae,"Ceftriaxone, Azithromycin"
Anaplasma marginale,"Tetracycline, Doxycycline"
Plasmodium lophurae,"Chloroquine, Artemisinin-based combination therapy"
Saprolegnia parasitica,"No cure, treatment is focused on relieving symptoms"
Plasmodium vivax,"Artemisinin-based combination therapy, Chloroquine"
African swine fever virus,No cure
Cauliflower mosaic virus,"No cure, treatment is focused on controlling the spread of the disease"
Bovine herpesvirus 1,"No cure, treatment is focused on relieving symptoms and controlling the spread of the disease"
Human herpesvirus 1,"Acyclovir, Valacyclovir, Famciclovir"
White spot syndrome virus,"No cure, treatment is focused on controlling the spread of the disease"
Cercopithecine herpesvirus 1,"No cure, treatment is focused on relieving symptoms and controlling the spread of the disease"
Mycoplasma sp.,"Azithromycin, Doxycycline"
Spironucleus vortens,Metronidazole
Mycoplasmopsis fermentans,"Azithromycin, Doxycycline"
Equine herpesvirus 2,"No cure, treatment is focused on relieving symptoms and controlling the spread of the disease"
Chlamydia trachomatis,"Azithromycin, Doxycycline"
Fusobacterium nucleatum,"Metronidazole, Clindamycin"
Uromyces appendiculatus,"No cure, treatment is focused on controlling the spread of the disease"
Chlamydia trachomatis,"Azithromycin, Doxycycline"
Fusobacterium nucleatum,"Metronidazole, Clindamycin"
Uromyces appendiculatus,"No cure, treatment is focused on controlling the spread of the disease"
Murine coronavirus,"No cure, treatment is focused on relieving symptoms and controlling the spread of the disease"
Turkey enteric coronavirus,"No cure, treatment is focused on relieving symptoms and controlling the spread of the disease"
Ixodes persulcatus,"Permethrin, Picaridin"
Flavobacterium sp.,"Ciprofloxacin, Gentamicin"
Streptomyces jumonjinensis,No cure exists
Streptomyces microflavus,No cure exists
Pseudomonas amyloderamosa,"Ciprofloxacin, Gentamicin"
Pseudomonas sp.,"Ciprofloxacin, Gentamicin"
Agelenopsis aperta,"No cure exists (venomous spider bite, treatment is symptomatic)"
Rhodococcus sp.,"Vancomycin, Rifampicin"
Mycolicibacterium parafortuitum,"Isoniazid, Rifampicin, Ethambutol"
Encephalitozoon intestinalis,"Albendazole, Fumagillin"
Daboia siamensis,Antivenom (specific to species)
Ixodes pacificus,"Permethrin, Picaridin"
Ixodes sinensis,"Permethrin, Picaridin"
Chironex fleckeri,No specific cure exists (treatment is symptomatic)
Carybdea rastonii,No specific cure exists (treatment is symptomatic)
Carybdea alata,No specific cure exists (treatment is symptomatic)
Avian sarcoma virus,No cure exists (antiretroviral therapy may be used in some cases)
Centruroides noxius,Antivenom (specific to species)
Centruroides bonito,Antivenom (specific to species)
Centruroides tecomanus,Antivenom (specific to species)
Parabuthus villosus,Antivenom (specific to species)
Parabuthus granulatus,Antivenom (specific to species)
Scorpiops pococki,Antivenom (specific to species)
Tityus trivittatus,Antivenom (specific to species)
Tityus pachyurus,Antivenom (specific to species)
Mesobuthus gibbosus,Antivenom (specific to species)
Androctonus amoreuxi,Antivenom (specific to species)
Chaerilus tricostatus,Antivenom (specific to species)
Buthus paris,Antivenom (specific to species)
Tityus metuendus,Antivenom (specific to species)
Vaejovis mexicanus smithi,Antivenom (specific to species)
Scorpiops tibetanus,Antivenom (specific to species)
Scorpiops margerisonae,Antivenom (specific to species)
Scorpiops jendeki,Antivenom (specific to species)
Centruroides margaritatus,Antivenom (specific to species)
Edwardsiella tarda,"Ciprofloxacin, Gentamicin"
Neisseria animalis,"Ciprofloxacin, Gentamicin"
Mycolicibacterium vanbaalenii,"Isoniazid, Rifampicin, Ethambutol"
Centruroides limbatus,Antivenom (specific to species)
Rhopalurus junceus,Antivenom (specific to species)
Centruroides suffusus,Antivenom (specific to species)
Heteroctenus garridoi,Antivenom (specific to species)
Heterometrus spinifer,Antivenom (specific to species)
Anuroctonus phaiodactylus,Antivenom (specific to species)
Heterometrus laoticus,Antivenom (specific to species)
Plasmodium falciparum,"Chloroquine, Artemisinin-based combination therapy"
Liocheles australasiae,Antivenom (specific to species)
Euscorpiops validus,Antivenom (specific to species)
Rathayibacter rathayi,No specific cure exists (treatment is symptomatic)
Sulfobacillus thermosulfidooxidans,No specific cure exists (treatment is symptomatic)
Streptomyces kasugaensis,No specific cure exists (treatment is symptomatic)
Centruroides gracilis,Antivenom (specific to species)
Centruroides sculpturatus,Antivenom (specific to species)
Centruroides exilicauda,Antivenom (specific to species)
Actinomadura kijaniata,No specific cure exists (treatment is symptomatic)
Human herpesvirus 1,"Acyclovir, Valacyclovir"
Plasmodium falciparum (isolate CDC / Honduras),"Chloroquine, Artemisinin-based combination therapy"
Plasmodium falciparum (isolate NF7 / Ghana),"Chloroquine, Artemisinin-based combination therapy"
Tannerella forsythia,"Metronidazole, Amoxicillin"
Urodacus manicatus,Antivenom (specific to species)
Centruroides noxius,Antivenom (specific to species)
Centruroides bonito,Antivenom (specific to species)
Centruroides tecomanus,Antivenom (specific to species)
Parabuthus villosus,Antivenom (specific to species)
Parabuthus granulatus,Antivenom (specific to species)
Scorpiops pococki,Antivenom (specific to species)
Tityus trivittatus,Antivenom (specific to species)
Tityus pachyurus,Antivenom (specific to species)
Mesobuthus gibbosus,Antivenom (specific to species)
Androctonus amoreuxi,Antivenom (specific to species)
Chaerilus tricostatus,Antivenom (specific to species)
Buthus paris,Antivenom (specific to species)
Tityus metuendus,Antivenom (specific to species)
Vaejovis mexicanus smithi,Antivenom (specific to species)
Scorpiops tibetanus,Antivenom (specific to species)
Scorpiops margerisonae,Antivenom (specific to species)
Scorpiops jendeki,Antivenom (specific to species)
Centruroides margaritatus,Antivenom (specific to species)
Edwardsiella tarda,"Ciprofloxacin, Gentamicin"
Neisseria animalis,"Ciprofloxacin, Gentamicin"
Mycolicibacterium vanbaalenii,"Isoniazid, Rifampicin, Ethambutol"
Centruroides limbatus,Scorpion antivenom
Rhopalurus junceus,Scorpion antivenom
Centruroides suffusus,Scorpion antivenom
Heterometrus spinifer,Scorpion antivenom
Euscorpiops validus,Scorpion antivenom
Centruroides gracilis,Scorpion antivenom
Centruroides sculpturatus,Scorpion antivenom
Centruroides exilicauda,Scorpion antivenom
Heterometrus laoticus,Scorpion antivenom
Heterometrus petersii,Scorpion antivenom
Plasmodium falciparum (isolate Dd2),"Chloroquine, Artemisinin, Mefloquine"
Plasmodium falciparum (isolate CDC / Honduras),"Chloroquine, Artemisinin, Mefloquine"
Plasmodium falciparum (isolate NF7 / Ghana),"Chloroquine, Artemisinin, Mefloquine"
Human herpesvirus 1,"Acyclovir, Valacyclovir, Famciclovir"
Human herpesvirus 1 (strain CL101),"Acyclovir, Valacyclovir, Famciclovir"
Tannerella forsythia,"Metronidazole, Amoxicillin"
Listeria welshimeri,"Ampicillin, Gentamicin"
Amblyomma hebraeum,"Doxycycline, Amoxicillin (for tick-borne diseases)"
Argas monolakensis,"Doxycycline, Amoxicillin (for tick-borne diseases)"
Mycobacterium phage Corndog,"Isoniazid, Rifampicin, Ethambutol (for tuberculosis)"
Achromobacter aegrifaciens,"Ciprofloxacin, Gentamicin (for bacterial infections)"
Pandinus cavimanus,Scorpion antivenom
Pseudomonas azotoformans,"Ciprofloxacin, Gentamicin (for bacterial infections)"
Staphylococcus gallinarum,"Methicillin, Vancomycin (for bacterial infections)"
Staphylococcus hominis,"Methicillin, Vancomycin (for bacterial infections)"
Staphylococcus simulans,"Methicillin, Vancomycin (for bacterial infections)"
Streptococcus uberis,"Penicillin, Amoxicillin (for bacterial infections)"
Lumpy skin disease virus,No cure exists (vaccine available)
Rhodococcus jostii,"Clarithromycin, Rifampicin (for bacterial infections)"
Latrodectus geometricus,Black widow antivenom
Latrodectus hasselti,Black widow antivenom
Latrodectus hesperus,Black widow antivenom
Latrodectus mactans,Black widow antivenom
Latrodectus pallidus,Black widow antivenom
Latrodectus tredecimguttatus,Black widow antivenom
Steatoda grossa,No cure exists (symptomatic treatment)
Neisseria meningitidis serogroup B,"Ciprofloxacin, Rifampicin (for bacterial infections)"
Streptococcus iniae,"Penicillin, Amoxicillin (for bacterial infections)"
Mesomycoplasma hyopneumoniae,"Tetracycline, Erythromycin (for bacterial infections)"
Aphelenchus avenae,No cure exists (symptomatic treatment)
Axinella polypoides,No cure exists (symptomatic treatment)
Bothrops pauloensis,Bothrops antivenom
Bothrops pirajai,Bothrops antivenom
Crotalus ruber ruber,Crotaline antivenom
Lachesis stenophrys,Lachesis antivenom
Crotalaria juncea,No cure exists (symptomatic treatment)
Crotalaria pallida,No cure exists (symptomatic treatment)
Galanthus nivalis,No cure exists (symptomatic treatment)
Lathyrus sphaericus,No cure exists (symptomatic treatment)
Luffa acutangula,No cure exists (symptomatic treatment)
Narcissus tazetta,No cure exists (symptomatic treatment)
Leptodactylus pentadactylus,No cure exists (symptomatic treatment)
Streptococcus gallolyticus,"Penicillin, Amoxicillin (for bacterial infections)"
Buchnera aphidicola,No cure exists (symptomatic treatment)
Hepatitis delta virus,"Interferon alfa, Lamivudine (for viral infections)"
Salmonella houtenae,"Ciprofloxacin, Amoxicillin (for bacterial infections)"
Gaeumannomyces graminis,No cure exists (symptomatic treatment)
Burkholderia plantarii,"Ciprofloxacin, Amoxicillin (for bacterial infections)"
Malassezia furfur,"Ketoconazole, Itraconazole (for fungal infections)"
Malassezia restricta,"Ketoconazole, Itraconazole (for fungal infections)"
Moraxella sp.,"Ciprofloxacin, Amoxicillin (for bacterial infections)"
Moesziomyces aphidis,No cure exists (symptomatic treatment)
Penicillium cyclopium,No cure exists (symptomatic treatment)
Staphylococcus hyicus,"Methicillin, Vancomycin (for bacterial infections)"
Bibersteinia trehalosi,"Ciprofloxacin, Amoxicillin (for bacterial infections)"
Mannheimia glucosida,"Ciprofloxacin, Amoxicillin (for bacterial infections)"
Reovirus type 3,No cure exists (symptomatic treatment)
Reovirus type 2,No cure exists (symptomatic treatment)
Reovirus type 1,No cure exists (symptomatic treatment)
Bacillus cereus,"Ciprofloxacin, Amoxicillin (for bacterial infections)"
Aerococcus viridans,"Ciprofloxacin, Amoxicillin (for bacterial infections)"
Lactobacillus jensenii,No cure exists (symptomatic treatment)
Lacticaseibacillus rhamnosus,No cure exists (symptomatic treatment)
Lentilactobacillus hilgardii,No cure exists (symptomatic treatment)
Mycobacterium indicus pranii,"Isoniazid, Rifampicin, Ethambutol (for tuberculosis)"
Mycobacterium avium subsp. hominissuis,"Isoniazid, Rifampicin, Ethambutol (for tuberculosis)"
Aspergillus tamarii,"Ketoconazole, Itraconazole (for fungal infections)"
Yersinia pestis,"Streptomycin, Doxycycline (for bacterial infections)"
Salmonella typhimurium,"Ciprofloxacin, Amoxicillin (for bacterial infections)"
Mycobacterium paratuberculosis,"Isoniazid, Rifampicin, Ethambutol (for tuberculosis)"
Aeromonas jandaei,"Ciprofloxacin, Amoxicillin (for bacterial infections)"
Rahnella aquatilis,"Ciprofloxacin, Amoxicillin (for bacterial infections)"
Staphylococcus staphylolyticus,"Methicillin, Vancomycin (for bacterial infections)"
Shewanella hanedai,"Ciprofloxacin, Amoxicillin (for bacterial infections)"
Leifsonia aquatica,"Ciprofloxacin, Amoxicillin (for bacterial infections)"
Pochonia chlamydosporia,No cure exists (symptomatic treatment)
Zymoseptoria tritici,No cure exists (symptomatic treatment)
Borna disease virus 1,No cure exists (symptomatic treatment)
Borna disease virus (strain V),No cure exists (symptomatic treatment)
Bunyavirus La Crosse,No cure exists (symptomatic treatment)
Reston ebolavirus (strain Philippines-96),No cure exists (experimental treatments)
Reston ebolavirus (strain Reston-89),No cure exists (experimental treatments)
Sudan ebolavirus (strain Maleo-79),No cure exists (experimental treatments)
Sudan ebolavirus (strain Human/Uganda/Gulu/2000),No cure exists (experimental treatments)
Zaire ebolavirus (strain Kikwit-95),No cure exists (experimental treatments)
Zaire ebolavirus (strain Mayinga-76),No cure exists (experimental treatments)
Mammarenavirus lassaense,Ribavirin (for viral infections)
Lake Victoria marburgvirus (strain Angola/2005),No cure exists (experimental treatments)
Lake Victoria marburgvirus (strain Musoke-80),No cure exists (experimental treatments)
Lake Victoria marburgvirus (strain Popp-67),No cure exists (experimental treatments)
Lake Victoria marburgvirus (strain Ravn-87),No cure exists (experimental treatments)
Parainfluenza virus 5 (strain 21004-WR),No cure exists (symptomatic treatment)
Sendai virus (strain Enders),No cure exists (symptomatic treatment)
Toscana virus,No cure exists (symptomatic treatment)
Vesicular stomatitis New Jersey virus (strain Hazelhurst subtype Hazelhurst),No cure exists (symptomatic treatment)
Influenza A virus (various strains),"Oseltamivir, Zanamivir (for viral infections)"
Influenza A virus (various strains),"Oseltamivir, Zanamivir (for viral infections)"
Streptococcus pyogenes serotype M5,"Penicillin, Amoxicillin (for bacterial infections)"
Fusobacterium mortiferum,"Metronidazole, Amoxicillin (for bacterial infections)"
Encephalitozoon hellem,"Albendazole, Fumagillin (for parasitic infections)"
Vespa bicolor,Epinephrine (for allergic reactions)
Vespa affinis,Epinephrine (for allergic reactions)
Vespa basalis,Epinephrine (for allergic reactions)
Vespa ducalis,Epinephrine (for allergic reactions)
Vespa velutina flavitarsus,Epinephrine (for allergic reactions)
Polistes rothneyi,Epinephrine (for allergic reactions)
Polistes dominula,Epinephrine (for allergic reactions)
Polistes dorsalis,Epinephrine (for allergic reactions)
Polistes jokahamae,Epinephrine (for allergic reactions)
Allamanda cathartica,Activated charcoal (for poisoning)
Apocynum androsaemifolium,Activated charcoal (for poisoning)
Aconitum spp. (related to Atractylodes lancea),"Digoxin, Atropine (for cardiac arrest)"
Colchicum speciosum,Activated charcoal (for poisoning)
Drosophyllum lusitanicum,Activated charcoal (for poisoning)
Ephedra sinica,"Ephedrine, pseudoephedrine (for allergic reactions)"
Galanthus elwesii,Activated charcoal (for poisoning)
Gaultheria procumbens,Activated charcoal (for poisoning)
Gratiola officinalis,Activated charcoal (for poisoning)
Hydrangea quercifolia,Activated charcoal (for poisoning)
Kalmia buxifolia,Activated charcoal (for poisoning)
Kalmia procumbens,Activated charcoal (for poisoning)
Mandragora officinarum,Activated charcoal (for poisoning)
Mimosa pudica,Activated charcoal (for poisoning)
Nepenthes spp. (various species),Activated charcoal (for poisoning)
Nicotiana spp. (various species),Nicotine replacement therapy (for nicotine addiction)
Paris tetraphylla,Activated charcoal (for poisoning)
